Identifier,ProductCategory,ProductSubCategory,AnimalSpecies,AnimalSubSpecies,RiskfeedAnimalSubSpecies,AnimalSubSpeciesWeight,AnimalSubSpeciesConsumption,AnimalSubspeciesCompoundFeedIntake,Year,MinAnimalSubSpeciesCompoundFeedIntake,MaxAnimalSubSpeciesCompoundFeedIntake,,,
3.6.1.1.4,OilseedByproduct,Maize germ meal,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.6.1.1.5,OilseedByproduct,Maize germ meal,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.7.1.1.1,OilseedByproduct,Maize gluten feed,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.7.1.1.2,OilseedByproduct,Maize gluten feed,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.7.1.1.3,OilseedByproduct,Maize gluten feed,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.7.1.1.4,OilseedByproduct,Maize gluten feed,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.7.1.1.5,OilseedByproduct,Maize gluten feed,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.8.1.1.1,OilseedByproduct,Linseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.8.1.1.2,OilseedByproduct,Linseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.8.1.1.3,OilseedByproduct,Linseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.8.1.1.4,OilseedByproduct,Linseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.8.1.1.5,OilseedByproduct,Linseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.9.1.1.1,OilseedByproduct,Groundnut expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.9.1.1.2,OilseedByproduct,Groundnut expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
